City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,70.2,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Rikitea,PF,79.16,light rain,-23.1203,-134.9692,People ThankYou
5,Cape Town,ZA,70.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
6,Anori,BR,88.3,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
7,Hobyo,SO,80.73,clear sky,5.3505,48.5268,Iftin hotel hobyo
15,Butaritari,KI,80.13,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
19,Arusha,TZ,76.26,broken clouds,-3.3667,36.6833,Graceland Hotel
23,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
28,Breves,BR,82.2,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
33,Faanui,PF,81.86,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Saldanha,ZA,73.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
35,Atuona,PF,78.6,light rain,-9.8,-139.0333,Villa Enata
36,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
38,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
44,Sheopur,IN,82.0,clear sky,25.6667,76.7,Shri Ram Dharmshala
47,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
50,Mwingi,KE,77.41,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
51,Tocopilla,CL,73.56,few clouds,-22.092,-70.1979,Hotel Galvarino
52,Mora,CM,88.07,broken clouds,11.0461,14.1401,Hotel Emergence
57,Vao,NC,76.19,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
59,Kapoeta,SS,88.79,broken clouds,4.7717,33.5903,Eastgate Hotel
60,Nelson Bay,AU,72.0,light rain,-32.7167,152.15,Mantra Nelson Bay
62,Ilebo,CD,78.24,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
73,Kigoma,TZ,76.69,scattered clouds,-4.8769,29.6267,MJI Mwema Lodge
75,Mecca,SA,70.92,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
78,Namatanai,PG,79.07,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
79,Omboue,GA,79.56,light rain,-1.5746,9.2618,Hotel Olako
85,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
86,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
88,Payson,US,71.26,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
90,Bambanglipuro,ID,74.43,overcast clouds,-7.95,110.2833,Puri Brata
92,Dingle,PH,77.36,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
94,Buala,SB,78.06,light rain,-8.145,159.5921,Maringe Lagoon Lodge
96,Hilo,US,72.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
97,Abut,PH,74.98,broken clouds,17.3523,121.6036,Cinderella Resort
98,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
99,Puerto Ayora,EC,82.36,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Banda Aceh,ID,80.55,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
110,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
112,San Policarpo,PH,79.56,overcast clouds,12.1791,125.5072,Agapita M. Nicart
118,Bengkulu,ID,77.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
121,Wahiawa,US,70.38,broken clouds,21.5028,-158.0236,The Inn At Schofield
123,Hithadhoo,MV,83.61,clear sky,-0.6,73.0833,Scoop Guest House
124,Dicabisagan,PH,78.19,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
127,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
131,Maxixe,MZ,71.76,overcast clouds,-23.8597,35.3472,Oceano
133,Coahuayana,MX,89.82,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
134,Diffa,NE,83.61,scattered clouds,13.3154,12.6113,ProDAF/Diffa
137,Hambantota,LK,78.66,clear sky,6.1241,81.1185,Bungalow 63
138,Playa Vicente,MX,82.49,overcast clouds,17.8333,-95.8167,"Hotel ""Imperio"""
141,Cidreira,BR,72.12,broken clouds,-30.1811,-50.2056,Hotel Castelo
145,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Kailua,US,73.65,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
148,Tecpatan,MX,70.63,overcast clouds,17.1333,-93.3,Casa San Miguel
159,Hastinapur,IN,75.07,clear sky,29.1667,78.0167,Sangvi Doshi jain New Dharmshala Hastinapur
161,Tutoia,BR,82.96,overcast clouds,-2.7619,-42.2744,Pousada Guará's
162,Castro,BR,73.36,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
164,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
165,Miracema Do Tocantins,BR,85.77,few clouds,-9.5618,-48.3967,Miami Apart Hotel
169,Saint-Pierre,RE,79.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
170,Waingapu,ID,77.36,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
171,Saraland,US,74.08,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
178,Kahului,US,71.83,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
180,Caldas,CO,78.4,broken clouds,6.0911,-75.6357,Hotel Plaza Garibaldi
181,Ranong,TH,78.8,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
187,Pauini,BR,84.15,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
190,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,Cititel Penang
