City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,70.2,72,20,19.57,few clouds
1,Yellowknife,CA,62.456,-114.3525,0.41,62,75,13.8,broken clouds
2,Bethel,US,41.3712,-73.414,52.16,71,100,11.5,overcast clouds
3,Milkovo,RU,54.7167,158.6167,3.79,89,8,4.07,clear sky
4,Rikitea,PF,-23.1203,-134.9692,79.16,73,3,13.22,light rain
5,Cape Town,ZA,-33.9258,18.4232,70.11,65,0,12.66,clear sky
6,Anori,BR,-3.7728,-61.6442,88.3,67,82,3.53,broken clouds
7,Hobyo,SO,5.3505,48.5268,80.73,68,2,16.6,clear sky
8,Vagamo,NO,61.8751,9.0967,30.78,88,100,3.13,light snow
9,Nishihara,JP,26.1842,127.7558,65.86,88,100,10.36,moderate rain
10,Jamestown,US,42.097,-79.2353,40.01,58,100,13.8,overcast clouds
11,Hobart,AU,-42.8794,147.3294,56.23,100,75,5.75,fog
12,Chokurdakh,RU,70.6333,147.9167,-0.81,96,100,9.01,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,65.8,73,33,16.67,scattered clouds
14,Zhangjiakou,CN,40.81,114.8794,31.06,27,0,9.15,light snow
15,Butaritari,KI,3.0707,172.7902,80.13,76,100,12.95,overcast clouds
16,Tasiilaq,GL,65.6145,-37.6368,28.56,77,23,3.2,few clouds
17,Albany,US,42.6001,-73.9662,47.75,65,100,1.01,light rain
18,Ushuaia,AR,-54.8,-68.3,47.86,87,75,13.8,broken clouds
19,Arusha,TZ,-3.3667,36.6833,76.26,57,67,2.89,broken clouds
20,Khatanga,RU,71.9667,102.5,-12.51,100,39,7.47,scattered clouds
21,Batagay,RU,67.6333,134.6333,-12.21,100,93,4.25,overcast clouds
22,Jurm,AF,36.8648,70.8342,57.83,41,74,3.09,broken clouds
23,Souillac,MU,-20.5167,57.5167,80.98,83,40,3.44,scattered clouds
24,Bilibino,RU,68.0546,166.4372,-9.15,100,100,2.04,overcast clouds
25,Severo-Kurilsk,RU,50.6789,156.125,24.26,79,39,6.02,scattered clouds
26,Atar,MR,20.5169,-13.0499,90.54,7,5,12.3,clear sky
27,Luderitz,NA,-26.6481,15.1594,64.74,75,0,9.73,clear sky
28,Breves,BR,-1.6822,-50.4803,82.2,86,89,4.56,overcast clouds
29,Belyy Yar,RU,53.6039,91.3903,29.86,64,0,13.42,light snow
30,Tiksi,RU,71.6872,128.8694,-13.97,100,100,3.09,overcast clouds
31,Castelnaudary,FR,43.3183,1.9545,61.29,48,83,10.0,broken clouds
32,Nikolskoye,RU,59.7035,30.7861,29.88,88,100,20.8,snow
33,Faanui,PF,-16.4833,-151.75,81.86,73,82,14.72,broken clouds
34,Saldanha,ZA,-33.0117,17.9442,73.45,79,88,7.25,overcast clouds
35,Atuona,PF,-9.8,-139.0333,78.6,81,81,17.49,light rain
36,Vaini,TO,-21.2,-175.2,73.56,83,20,6.91,few clouds
37,Kodiak,US,57.79,-152.4072,31.51,93,100,0.0,overcast clouds
38,Geraldton,AU,-28.7667,114.6,73.81,88,40,5.75,scattered clouds
39,Tongzi,CN,28.7829,105.0877,53.2,92,100,4.52,overcast clouds
40,Bereda,ES,43.2686,-7.5406,61.57,66,100,3.56,overcast clouds
41,Qaanaaq,GL,77.484,-69.3632,1.67,84,99,2.19,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,55.42,58,100,3.44,overcast clouds
43,Beringovskiy,RU,63.05,179.3167,0.07,99,91,2.82,overcast clouds
44,Sheopur,IN,25.6667,76.7,82.0,10,0,3.47,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,66.22,93,100,38.99,overcast clouds
46,Busselton,AU,-33.65,115.3333,64.53,87,100,19.06,overcast clouds
47,Grand Gaube,MU,-20.0064,57.6608,81.37,82,1,1.01,clear sky
48,Pinawa,CA,50.1489,-95.8811,9.93,54,66,12.35,broken clouds
49,Bluff,NZ,-46.6,168.3333,54.61,82,24,3.42,few clouds
50,Mwingi,KE,-0.9344,38.0601,77.41,48,56,5.08,broken clouds
51,Tocopilla,CL,-22.092,-70.1979,73.56,61,19,9.24,few clouds
52,Mora,CM,11.0461,14.1401,88.07,9,83,8.14,broken clouds
53,Riyadh,SA,24.6877,46.7219,66.34,18,0,12.59,clear sky
54,Port Hardy,CA,50.6996,-127.4199,42.98,93,100,5.75,light rain
55,Bredasdorp,ZA,-34.5322,20.0403,64.51,72,39,14.29,scattered clouds
56,Hami,CN,42.8,93.45,46.53,28,1,3.91,clear sky
57,Vao,NC,-22.6667,167.4833,76.19,75,78,15.14,broken clouds
58,Plouzane,FR,48.3833,-4.6167,64.45,51,0,13.8,clear sky
59,Kapoeta,SS,4.7717,33.5903,88.79,34,84,7.31,broken clouds
60,Nelson Bay,AU,-32.7167,152.15,72.0,96,79,9.84,light rain
61,Klaksvik,FO,62.2266,-6.589,47.32,85,100,19.69,overcast clouds
62,Ilebo,CD,-4.3167,20.5833,78.24,74,100,0.51,overcast clouds
63,Jiangyou,CN,31.7667,104.7167,55.44,65,100,0.6,overcast clouds
64,Leningradskiy,RU,69.3833,178.4167,-11.76,84,21,5.46,few clouds
65,Dikson,RU,73.5069,80.5464,-3.78,88,100,11.56,overcast clouds
66,Fairbanks,US,64.8378,-147.7164,23.23,72,75,0.0,broken clouds
67,Salym,RU,60.0625,71.4789,14.05,91,16,7.74,few clouds
68,Ahipara,NZ,-35.1667,173.1667,61.0,85,4,6.91,clear sky
69,Mirnyy,RU,62.5353,113.9611,10.24,66,99,1.99,overcast clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,64,75,13.8,broken clouds
71,Maniitsoq,GL,65.4167,-52.9,24.87,71,76,3.69,broken clouds
72,Ribeira Grande,PT,38.5167,-28.7,59.4,88,75,8.05,mist
73,Kigoma,TZ,-4.8769,29.6267,76.69,78,29,4.09,scattered clouds
74,Thompson,CA,55.7435,-97.8558,-5.64,54,0,16.11,clear sky
75,Mecca,SA,21.4267,39.8261,70.92,41,0,9.53,clear sky
76,New Norfolk,AU,-42.7826,147.0587,55.89,87,3,2.46,clear sky
77,East London,ZA,-33.0153,27.9116,65.34,88,75,5.75,broken clouds
78,Namatanai,PG,-3.6667,152.4333,79.07,83,100,4.79,overcast clouds
79,Omboue,GA,-1.5746,9.2618,79.56,88,97,7.45,light rain
80,Okmulgee,US,35.6234,-95.9605,63.91,22,0,9.22,clear sky
81,Palermo,IT,37.8167,13.5833,55.36,71,100,7.67,overcast clouds
82,Coquimbo,CL,-29.9533,-71.3436,64.13,72,100,6.91,overcast clouds
83,Airai,TL,-8.9266,125.4092,59.43,90,64,0.85,broken clouds
84,Linxia,CN,35.6003,103.2064,39.13,41,88,0.94,overcast clouds
85,Palembang,ID,-2.9167,104.7458,78.89,89,20,2.3,few clouds
86,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,43,6.87,scattered clouds
87,Ayan,RU,56.45,138.1667,9.68,87,39,6.53,scattered clouds
88,Payson,US,40.0444,-111.7321,71.26,26,40,5.01,scattered clouds
89,Fortuna,US,40.5982,-124.1573,62.92,77,0,6.91,clear sky
