City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puro,PH,2022-03-22 00:25:10,12.4841,123.3827,81.86,78,98,10.49
1,Cape Town,ZA,2022-03-22 00:22:23,-33.9258,18.4232,71.11,84,0,13.8
2,Avarua,CK,2022-03-22 00:25:10,-21.2078,-159.775,86.05,74,97,17.27
3,New Norfolk,AU,2022-03-22 00:25:11,-42.7826,147.0587,62.89,77,100,0.81
4,Kemin,KG,2022-03-22 00:25:11,42.7846,75.6892,31.33,97,100,1.81
5,Mataura,NZ,2022-03-22 00:25:12,-46.1927,168.8643,72.68,51,46,5.91
6,Amapa,BR,2022-03-22 00:25:12,1.0,-52.0,70.38,99,100,1.61
7,Kattivakkam,IN,2022-03-22 00:25:13,13.2167,80.3167,83.07,87,86,10.47
8,Punta Arenas,CL,2022-03-22 00:25:13,-53.15,-70.9167,53.71,62,40,20.71
9,Castro,BR,2022-03-22 00:25:14,-24.7911,-50.0119,57.65,95,32,10.69
10,Bethel,US,2022-03-22 00:25:14,41.3712,-73.414,54.9,43,70,3.0
11,Butaritari,KI,2022-03-22 00:25:14,3.0707,172.7902,80.64,78,54,15.26
12,Nemuro,JP,2022-03-22 00:25:15,43.3236,145.575,33.01,68,4,15.88
13,Brae,GB,2022-03-22 00:25:16,60.3964,-1.353,41.52,85,9,10.18
14,Oranjestad,AW,2022-03-22 00:24:56,12.524,-70.027,78.75,78,40,19.57
15,Saldanha,ZA,2022-03-22 00:25:17,-33.0117,17.9442,66.25,91,3,10.87
16,Hobart,AU,2022-03-22 00:25:20,-42.8794,147.3294,63.23,92,100,0.0
17,Adrar,MR,2022-03-22 00:25:21,20.5022,-10.0711,74.1,12,0,8.68
18,Ribeira Grande,PT,2022-03-22 00:25:21,38.5167,-28.7,57.31,67,100,21.23
19,Yamada,JP,2022-03-22 00:25:22,39.4667,141.95,37.78,56,100,3.0
20,Da Nang,VN,2022-03-22 00:25:22,16.0678,108.2208,78.78,83,40,1.14
21,Floro,NO,2022-03-22 00:25:23,61.5996,5.0328,40.96,65,100,3.44
22,Tigil,RU,2022-03-22 00:25:24,57.8,158.6667,28.29,89,100,15.9
23,Sao Felix Do Xingu,BR,2022-03-22 00:22:01,-6.6447,-51.995,72.23,97,99,0.22
24,Lavrentiya,RU,2022-03-22 00:25:25,65.5833,-171.0,8.62,85,73,3.83
25,Alyangula,AU,2022-03-22 00:25:25,-13.8483,136.4192,89.47,66,72,5.75
26,Rikitea,PF,2022-03-22 00:22:56,-23.1203,-134.9692,79.72,63,3,12.68
27,Nikolskoye,RU,2022-03-22 00:25:26,59.7035,30.7861,35.87,91,0,6.67
28,Rio Grande,BR,2022-03-22 00:24:36,-32.035,-52.0986,68.95,65,92,21.09
29,Sao Filipe,CV,2022-03-22 00:25:26,14.8961,-24.4956,69.91,74,15,11.45
30,Kodiak,US,2022-03-22 00:25:27,57.79,-152.4072,40.51,52,0,13.8
31,Dingle,PH,2022-03-22 00:25:28,10.9995,122.6711,81.81,76,73,7.78
32,Bredasdorp,ZA,2022-03-22 00:25:29,-34.5322,20.0403,66.15,95,2,6.53
